initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB,initate ACB
28,31,4,19,0,0.0740741,1,28
25,33,3,18,0,0.0555556,1,25
32,30,6,18,0,0.111111,1,32
26,35,6,13,0,0.111111,1,26
31,24,1,29,0,0.0185185,1,31
35,25,5,24,0,0.0925926,1,35
32,27,4,23,0,0.0740741,1,32
25,34,5,15,0,0.0925926,1,25
29,30,5,19,0,0.0925926,1,29
32,30,4,20,0,0.0740741,1,32
32,30,7,17,0,0.12963,1,32
19,39,3,12,0,0.0555556,1,19
32,29,7,18,0,0.12963,1,32
21,38,4,12,0,0.0740741,1,21
27,35,5,14,0,0.0925926,1,27
24,35,5,14,0,0.0925926,1,24
32,29,7,18,0,0.12963,1,32
24,36,6,12,0,0.111111,1,24
33,28,7,19,0,0.12963,1,33
29,33,7,14,0,0.12963,1,29
31,31,7,16,0,0.12963,1,31
23,36,4,14,0,0.0740741,1,23
33,28,6,20,0,0.111111,1,33
32,31,7,16,0,0.12963,1,32
31,31,6,17,0,0.111111,1,31
33,28,6,20,0,0.111111,1,33
45,24,10,20,0,0.185185,1,45
24,34,3,17,0,0.0555556,1,24
27,34,6,14,0,0.111111,1,27
