initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility
49,21,11,19,3,0.203704
59,23,19,12,0,0.351852
53,19,15,15,5,0.277778
58,19,18,14,3,0.333333
47,19,11,22,2,0.203704
54,20,15,17,2,0.277778
53,20,12,18,4,0.222222
50,23,13,18,0,0.240741
50,22,14,16,2,0.259259
47,23,9,20,2,0.166667
63,16,17,16,5,0.314815
53,25,14,15,0,0.259259
46,28,12,14,0,0.222222
62,17,16,17,4,0.296296
54,20,13,17,4,0.240741
48,21,13,19,1,0.240741
51,19,13,18,4,0.240741
59,21,17,15,1,0.314815
40,22,8,23,1,0.148148
62,18,16,16,4,0.296296
53,18,12,18,6,0.222222
54,17,15,18,4,0.277778
65,17,18,17,2,0.333333
54,17,13,20,4,0.240741
59,19,16,15,4,0.296296
57,16,15,16,7,0.277778
48,20,11,21,2,0.203704
54,21,12,18,3,0.222222
60,21,17,13,3,0.314815
56,18,17,16,3,0.314815
46,27,13,14,0,0.240741
53,18,14,18,4,0.259259
47,23,12,19,0,0.222222
55,18,13,18,5,0.240741
61,15,15,17,7,0.277778
45,26,9,19,0,0.166667
53,20,16,16,2,0.296296
52,17,12,19,6,0.222222
71,15,23,11,5,0.425926
40,24,7,22,1,0.12963
55,20,15,16,3,0.277778
49,19,11,19,5,0.203704
41,28,11,15,0,0.203704
53,18,13,18,5,0.240741
44,25,11,18,0,0.203704
53,22,14,16,2,0.259259
44,26,12,16,0,0.222222
65,15,17,17,5,0.314815
45,23,9,22,0,0.166667
61,14,16,18,6,0.296296
52,18,12,20,4,0.222222
46,25,11,18,0,0.203704
45,24,10,19,1,0.185185
69,14,22,11,7,0.407407
54,19,14,16,5,0.259259
50,24,16,13,1,0.296296
