MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,MTCD_RA_status 
8324,4,715,715,1,721,721,721,1,12,D2D_RA
8325,14,206,210,2,218,218,218,1,41,D2D_RA
8326,10,477,481,2,491,491,491,1,29,D2D_RA
8327,11,194,194,1,203,203,203,1,31,D2D_RA
8328,9,705,705,1,712,712,712,1,25,D2D_RA
8329,15,242,264,4,249,272,272,3,44,D2D_RA
8330,12,561,587,4,571,595,595,3,35,D2D_RA
8331,12,407,411,2,419,419,419,1,34,D2D_RA
8332,11,431,435,2,444,444,444,1,33,D2D_RA
8333,14,116,120,2,128,128,128,1,41,D2D_RA
8334,4,697,697,1,704,704,704,1,10,D2D_RA
8335,16,421,425,2,434,434,434,1,46,D2D_RA
8336,10,175,179,2,186,186,186,1,30,D2D_RA
8337,16,257,267,2,265,274,274,2,48,D2D_RA
8338,3,626,626,1,633,633,633,1,9,D2D_RA
8339,1,264,264,1,272,272,272,1,1,D2D_RA
8340,12,342,346,2,355,355,355,1,36,D2D_RA
8341,16,601,601,1,609,609,609,1,46,D2D_RA
8342,16,75,75,1,80,80,80,1,47,D2D_RA
8343,9,301,305,2,315,315,315,1,26,D2D_RA
8344,9,433,456,4,441,465,465,3,26,D2D_RA
8345,10,401,401,1,409,409,409,1,28,D2D_RA
8346,6,717,730,3,728,736,736,2,18,D2D_RA
8347,8,420,434,3,432,442,442,2,23,D2D_RA
8348,13,787,787,1,792,792,792,1,39,D2D_RA
8349,1,225,225,1,233,233,233,1,1,D2D_RA
8350,3,332,336,2,345,345,345,1,9,D2D_RA
8351,2,627,627,1,634,634,634,1,6,D2D_RA
8352,10,427,427,1,436,436,436,1,28,D2D_RA
8353,10,313,313,1,321,321,321,1,29,D2D_RA
8354,10,427,427,1,436,436,436,1,29,D2D_RA
8355,14,168,178,2,176,185,185,2,40,D2D_RA
8356,4,338,338,1,348,348,348,1,10,D2D_RA
8357,14,267,267,1,276,276,276,1,42,D2D_RA
8358,2,659,659,1,665,665,665,1,5,D2D_RA
8359,8,707,707,1,713,713,713,1,22,D2D_RA
8360,3,475,475,1,486,486,486,1,7,D2D_RA
8361,12,224,224,1,232,232,232,1,35,D2D_RA
8362,6,514,514,1,525,525,525,1,16,D2D_RA
8363,16,310,339,5,323,347,347,3,46,D2D_RA
8364,4,516,520,2,528,528,528,1,10,D2D_RA
8365,5,86,90,2,96,96,96,1,14,D2D_RA
8366,3,406,424,4,418,433,433,2,9,D2D_RA
8367,9,378,378,1,387,387,387,1,26,D2D_RA
8368,8,638,642,2,649,649,649,1,24,D2D_RA
8369,14,580,584,2,593,593,593,1,40,D2D_RA
8370,13,339,339,1,348,348,348,1,39,D2D_RA
8371,10,352,363,2,361,372,372,2,29,D2D_RA
8372,3,653,657,2,665,665,665,1,9,D2D_RA
8373,1,389,393,2,401,401,401,1,2,D2D_RA
8374,9,470,474,2,482,482,482,1,27,D2D_RA
8375,1,470,474,2,484,484,484,1,2,D2D_RA
8376,14,724,728,2,736,736,736,1,41,D2D_RA
8377,12,413,417,2,425,425,425,1,36,D2D_RA
8378,4,282,291,2,289,298,298,2,12,D2D_RA
8379,11,421,425,2,433,433,433,1,32,D2D_RA
8380,6,390,409,4,403,418,418,2,17,D2D_RA
8381,16,332,336,2,344,344,344,1,48,D2D_RA
8382,11,577,577,1,584,584,584,1,33,D2D_RA
8383,13,344,344,1,353,353,353,1,39,D2D_RA
8384,11,285,289,2,297,297,297,1,31,D2D_RA
8385,3,781,785,2,793,793,793,1,7,D2D_RA
8386,1,225,225,1,233,233,233,1,2,D2D_RA
8387,14,785,785,1,792,792,792,1,41,D2D_RA
8388,2,486,490,2,498,498,498,1,4,D2D_RA
8389,15,491,491,1,499,499,499,1,45,D2D_RA
8390,13,477,496,4,490,504,504,2,37,D2D_RA
8391,10,222,226,2,234,234,234,1,29,D2D_RA
8392,3,728,738,2,736,745,745,2,8,D2D_RA
8393,2,539,539,1,547,547,547,1,6,D2D_RA
8394,9,761,761,1,768,768,768,1,26,D2D_RA
8395,1,313,313,1,320,320,320,1,3,D2D_RA
8396,12,514,514,1,523,523,523,1,36,D2D_RA
8397,12,479,483,2,490,490,490,1,35,D2D_RA
8398,4,616,616,1,624,624,624,1,11,D2D_RA
8399,5,285,289,2,297,297,297,1,13,D2D_RA
8400,12,338,352,3,346,360,360,2,36,D2D_RA
8401,3,864,864,1,872,872,872,1,7,D2D_RA
8402,16,664,664,1,672,672,672,1,48,D2D_RA
8403,16,288,312,4,296,320,320,3,46,D2D_RA
8404,8,615,619,2,627,627,627,1,23,D2D_RA
8405,2,610,610,1,618,618,618,1,4,D2D_RA
8406,5,458,458,1,468,468,468,1,13,D2D_RA
8407,12,591,595,2,602,602,602,1,36,D2D_RA
8408,10,516,531,3,529,540,540,2,28,D2D_RA
8409,5,784,784,1,792,792,792,1,13,D2D_RA
8410,13,409,409,1,419,419,419,1,37,D2D_RA
8411,10,221,225,2,232,232,232,1,30,D2D_RA
8412,13,436,440,2,448,448,448,1,38,D2D_RA
8413,15,361,361,1,370,370,370,1,44,D2D_RA
8414,5,350,370,4,364,381,381,2,13,D2D_RA
8415,11,165,169,2,176,176,176,1,33,D2D_RA
8416,2,454,458,2,468,468,468,1,5,D2D_RA
8417,5,690,690,1,696,696,696,1,15,D2D_RA
8418,2,559,563,2,571,571,571,1,4,D2D_RA
8419,10,613,627,3,625,637,637,2,28,D2D_RA
8420,14,400,410,2,408,419,419,2,41,D2D_RA
8421,1,710,722,3,720,729,729,2,1,D2D_RA
8422,10,317,321,2,330,330,330,1,28,D2D_RA
