initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility,PACB,initate ACB
45,21,11,19,3,0.203704,0.208688,249
46,23,11,19,1,0.203704,0.209987,264
50,26,15,13,0,0.277778,0.209987,241
52,22,13,16,3,0.240741,0.209987,264
64,18,17,15,4,0.314815,0.209987,298
49,19,10,20,5,0.185185,0.209987,251
59,15,16,19,4,0.296296,0.209987,255
48,25,14,15,0,0.259259,0.209987,267
68,13,18,17,6,0.333333,0.209987,258
71,15,20,17,2,0.37037,0.206602,274
62,19,18,15,2,0.333333,0.206602,304
58,17,15,15,7,0.277778,0.206602,257
52,21,14,16,3,0.259259,0.206602,273
44,24,9,20,1,0.166667,0.206602,257
65,15,15,18,6,0.277778,0.206602,313
77,14,23,12,5,0.425926,0.206602,298
44,21,9,20,4,0.166667,0.206602,270
54,19,15,17,3,0.277778,0.19331,274
47,21,11,18,4,0.203704,0.19331,293
61,20,19,13,2,0.351852,0.19331,298
62,17,17,16,4,0.314815,0.19331,310
66,15,18,15,6,0.333333,0.19331,314
55,18,16,15,5,0.296296,0.19331,289
49,23,14,17,0,0.259259,0.19331,248
41,23,9,21,1,0.166667,0.19331,288
73,19,22,10,3,0.407407,0.187606,301
48,22,12,17,3,0.222222,0.187606,281
47,24,12,18,0,0.222222,0.187606,253
54,19,14,17,4,0.259259,0.187606,300
54,23,16,13,2,0.296296,0.187606,304
48,22,12,18,2,0.222222,0.187606,312
54,18,17,13,6,0.314815,0.187606,321
49,20,11,21,2,0.203704,0.187606,302
56,17,17,19,1,0.314815,0.182844,300
45,27,12,15,0,0.222222,0.182844,262
56,18,17,15,4,0.314815,0.182844,284
54,20,12,19,3,0.222222,0.182844,313
68,15,20,15,4,0.37037,0.182844,322
43,23,8,22,1,0.148148,0.182844,268
59,21,16,16,1,0.296296,0.182844,297
49,23,11,19,1,0.203704,0.182844,292
56,16,13,17,8,0.240741,0.185589,302
58,13,14,19,8,0.259259,0.185589,272
45,21,11,21,1,0.203704,0.185589,281
44,21,11,19,3,0.203704,0.185589,270
55,23,14,16,1,0.259259,0.185589,299
64,17,18,15,4,0.333333,0.185589,320
63,16,19,12,7,0.351852,0.185589,319
56,20,18,13,3,0.333333,0.185589,315
