initate MTCD,emtpyPre,collidePre,successPre,grant fail,collide probility
93,8,29,11,6,0.537037
186,1,46,3,4,0.851852
99,10,30,10,4,0.555556
201,0,53,0,1,0.981481
115,7,36,5,6,0.666667
207,1,48,2,3,0.888889
127,4,37,8,5,0.685185
209,1,48,3,2,0.888889
133,2,40,8,4,0.740741
211,1,47,3,3,0.87037
138,3,40,5,6,0.740741
215,0,51,2,1,0.944444
143,5,39,6,4,0.722222
209,0,48,3,3,0.888889
157,3,46,3,2,0.851852
208,1,48,4,1,0.888889
163,1,45,5,3,0.833333
203,1,52,1,0,0.962963
170,3,42,2,7,0.777778
206,3,47,2,2,0.87037
178,1,46,1,6,0.851852
202,1,48,1,4,0.888889
186,1,48,1,4,0.888889
189,2,44,6,2,0.814815
188,1,48,2,3,0.888889
176,2,43,5,4,0.796296
194,2,47,3,2,0.87037
172,2,43,5,4,0.796296
200,1,44,5,4,0.814815
164,2,45,4,3,0.833333
200,0,50,2,2,0.925926
160,2,44,5,3,0.814815
199,1,49,1,3,0.907407
162,3,45,2,4,0.833333
202,1,49,2,2,0.907407
163,0,41,5,8,0.759259
208,1,49,0,4,0.907407
165,1,43,6,4,0.796296
212,3,49,1,1,0.907407
163,3,44,2,5,0.814815
208,3,46,4,1,0.851852
167,3,44,3,4,0.814815
209,1,46,3,4,0.851852
168,2,43,5,4,0.796296
207,1,49,1,3,0.907407
166,3,45,5,1,0.833333
212,0,48,3,3,0.888889
165,1,46,4,3,0.851852
218,1,49,2,2,0.907407
164,3,47,4,0,0.87037
218,0,51,2,1,0.944444
165,1,44,4,5,0.814815
219,2,44,3,5,0.814815
167,3,37,7,7,0.685185
217,1,50,1,2,0.925926
159,2,42,5,5,0.777778
219,1,51,1,1,0.944444
150,3,44,3,4,0.814815
209,1,51,1,1,0.944444
156,4,39,7,4,0.722222
212,3,47,2,2,0.87037
159,2,43,6,3,0.796296
209,2,47,3,2,0.87037
160,0,43,7,4,0.796296
209,1,50,2,1,0.925926
163,6,43,3,2,0.796296
211,1,47,2,4,0.87037
162,3,43,4,4,0.796296
205,2,51,1,0,0.944444
168,0,45,6,3,0.833333
202,0,48,3,3,0.888889
170,1,43,5,5,0.796296
193,1,46,3,4,0.851852
172,0,50,1,3,0.925926
194,0,48,3,3,0.888889
182,4,44,4,2,0.814815
188,0,48,5,1,0.888889
187,0,44,5,5,0.814815
182,2,46,4,2,0.851852
184,2,45,4,3,0.833333
178,1,50,2,1,0.925926
188,0,50,2,2,0.925926
179,1,48,1,4,0.888889
188,1,44,3,6,0.814815
184,1,45,2,6,0.833333
183,0,47,5,2,0.87037
191,0,47,3,4,0.87037
185,2,49,2,1,0.907407
184,1,48,4,1,0.888889
187,1,49,4,0,0.907407
173,1,44,5,4,0.814815
181,2,46,3,3,0.851852
178,2,45,5,2,0.833333
183,2,40,5,7,0.740741
173,4,47,1,2,0.87037
175,2,46,2,4,0.851852
177,3,40,6,5,0.740741
184,2,50,1,1,0.925926
177,3,44,4,3,0.814815
195,0,45,6,3,0.833333
178,5,44,3,2,0.814815
184,5,47,2,0,0.87037
179,2,46,4,2,0.851852
186,4,45,3,2,0.833333
182,2,47,1,4,0.87037
185,1,49,1,3,0.907407
171,3,45,2,4,0.833333
198,1,48,3,2,0.888889
173,1,41,7,5,0.759259
196,1,46,4,3,0.851852
173,1,45,2,6,0.833333
195,1,48,1,4,0.888889
164,2,47,3,2,0.87037
195,1,48,3,2,0.888889
171,3,42,6,3,0.777778
197,0,43,6,5,0.796296
164,1,44,4,5,0.814815
190,1,48,4,1,0.888889
160,4,43,3,4,0.796296
186,0,48,5,1,0.888889
157,3,45,2,4,0.833333
190,3,46,2,3,0.851852
168,3,44,5,2,0.814815
183,4,46,3,1,0.851852
156,3,43,6,2,0.796296
183,1,47,3,3,0.87037
159,2,45,1,6,0.833333
173,1,48,1,4,0.888889
163,4,44,5,1,0.814815
169,1,44,3,6,0.814815
164,0,47,3,4,0.87037
171,4,42,4,4,0.777778
170,1,44,4,5,0.814815
162,2,43,4,5,0.796296
162,3,44,4,3,0.814815
161,1,45,5,3,0.833333
156,0,43,6,5,0.796296
158,3,46,5,0,0.851852
161,2,43,5,4,0.796296
156,2,44,6,2,0.814815
162,0,42,6,6,0.777778
147,4,39,5,6,0.722222
149,4,37,7,6,0.685185
149,4,40,5,5,0.740741
140,6,39,7,2,0.722222
146,1,44,3,6,0.814815
129,6,39,7,2,0.722222
145,3,48,2,1,0.888889
139,5,38,5,6,0.703704
148,7,41,3,3,0.759259
136,2,41,6,5,0.759259
149,2,42,4,6,0.777778
133,3,38,6,7,0.703704
154,1,41,8,4,0.759259
138,6,41,5,2,0.759259
144,1,40,7,6,0.740741
149,4,39,7,4,0.722222
145,1,42,5,6,0.777778
144,1,43,4,6,0.796296
140,5,39,6,4,0.722222
147,3,47,2,2,0.87037
147,5,40,6,3,0.740741
154,5,42,4,3,0.777778
142,5,42,4,3,0.777778
160,2,46,5,1,0.851852
137,7,37,7,3,0.685185
153,3,39,10,2,0.722222
140,4,40,7,3,0.740741
133,4,35,9,6,0.648148
135,3,42,4,5,0.777778
126,5,38,8,3,0.703704
141,2,41,8,3,0.759259
124,4,37,9,4,0.685185
129,5,36,9,4,0.666667
112,4,33,7,10,0.611111
132,2,41,7,4,0.759259
104,7,37,6,4,0.685185
133,6,37,7,4,0.685185
106,13,31,7,3,0.574074
125,7,38,3,6,0.703704
99,10,33,7,4,0.611111
117,5,34,7,8,0.62963
99,13,30,8,3,0.555556
118,10,31,9,4,0.574074
