1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,total_request
0,7,1,0,1,1,1,7,2,2,3,3,4,1,7,1,41
1,1,2,0,1,3,0,3,2,2,0,0,2,3,2,1,23
1,1,1,0,1,3,0,4,1,2,0,2,2,1,5,2,26
1,2,2,0,6,3,1,1,2,1,6,3,3,1,1,1,34
2,3,1,0,2,0,1,0,0,0,3,5,2,1,1,1,22
2,2,1,1,1,3,2,4,2,4,0,3,3,1,2,1,32
2,0,2,2,2,2,0,0,1,1,2,1,2,2,1,1,21
0,3,6,0,0,0,1,1,1,2,1,0,2,1,2,1,21
0,0,0,0,2,0,0,0,0,0,1,1,0,0,3,1,8
0,3,1,2,0,4,3,1,0,0,0,0,1,0,0,3,18
0,3,0,1,2,3,0,4,3,1,2,2,0,1,0,0,22
0,4,2,1,0,1,0,2,1,0,0,1,1,0,2,1,16
2,0,0,1,0,1,3,1,0,1,0,1,4,1,2,3,20
2,0,2,0,1,3,1,0,0,0,1,0,1,1,0,0,12
3,1,0,1,1,0,1,3,3,0,1,2,0,0,1,2,19
1,3,1,0,1,0,0,0,0,0,0,1,2,0,0,1,10
1,0,2,0,1,1,1,2,3,0,0,3,2,5,1,0,22
1,0,1,0,1,1,1,1,2,0,0,1,1,0,0,1,11
0,2,0,0,0,0,0,0,0,0,2,1,0,2,1,0,8
2,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,7
1,1,1,1,1,2,1,1,1,1,0,1,0,0,1,0,13
0,3,2,0,0,0,0,2,1,2,2,0,1,0,0,2,15
0,0,0,1,1,0,3,1,0,0,0,0,0,1,1,1,9
1,0,1,0,0,0,0,2,1,1,0,0,1,1,0,0,8
0,1,0,1,0,0,1,1,0,2,1,0,1,0,1,1,10
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,8
1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,7
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,6
