MTCD_number,group,D2D_first_request_RAO,D2D_initate_request_RAO,nRequest_D2D,RA_first_RAO,RA_initate_RAO,RA_success_RAO,nTransmit_RA,Preamble_number,Power_level,MTCD_status,D2D_request_allocation_index 
17197,32,214,218,2,228,228,228,1,32,0,Success,3
17198,8,144,144,1,154,154,154,1,8,0,Success,2
17199,14,393,393,1,400,400,400,1,14,1,Success,4
17200,30,441,441,1,454,454,454,1,30,2,Success,9
17201,40,354,370,3,381,381,381,2,40,0,Success,2
17202,44,80,80,1,95,95,95,1,44,0,Success,0
17203,36,615,619,2,626,626,626,1,36,0,Success,5
17204,23,280,280,1,291,291,291,1,23,0,Success,3
17205,7,354,354,1,362,362,362,1,7,2,Success,10
17206,3,647,651,2,662,662,662,1,3,0,Success,6
17207,28,520,520,1,534,534,534,1,28,0,Success,1
17208,41,189,193,2,205,205,205,1,41,0,Success,2
17209,27,191,195,2,202,202,202,1,27,0,Success,13
17210,1,838,842,2,849,849,849,1,1,0,Success,1
17211,26,520,520,1,535,535,535,1,26,0,Success,0
17212,23,376,376,1,386,386,386,1,23,0,Success,2
17213,26,241,241,1,252,252,252,1,26,0,Success,3
17214,29,552,552,1,567,567,567,1,29,0,Success,0
17215,27,385,385,1,396,396,396,1,27,1,Success,7
17216,40,459,459,1,470,470,470,1,40,2,Success,9
17217,18,387,387,1,392,392,392,1,18,2,Success,8
17218,8,659,659,1,669,669,669,1,8,0,Success,5
17219,49,226,226,1,237,237,237,1,49,0,Success,2
17220,8,706,706,1,715,715,715,1,8,0,Success,3
17221,7,275,275,1,283,283,283,1,7,1,Success,7
17222,38,187,187,1,195,195,195,1,38,0,Success,4
17223,6,490,490,1,498,498,498,1,6,1,Success,6
17224,4,214,218,2,227,227,227,1,4,1,Success,7
17225,4,572,576,2,584,584,584,1,4,0,Success,0
17226,13,375,379,2,386,386,386,1,13,1,Success,6
17227,42,393,393,1,406,406,406,1,42,1,Success,5
17228,14,650,650,1,659,659,659,1,14,1,Success,7
17229,44,454,458,2,469,469,469,1,44,0,Success,2
17230,4,738,738,1,744,744,744,1,4,1,Success,4
17231,2,443,443,1,452,452,452,1,2,2,Success,20
17232,9,576,576,1,587,587,587,1,9,0,Success,3
17233,30,549,553,2,567,567,567,1,30,1,Success,4
17234,27,284,288,2,302,302,302,1,27,0,Success,1
17235,39,55,59,2,71,71,71,1,39,0,Success,0
17236,32,483,497,3,491,509,509,2,32,1,Success,6
17237,43,424,424,1,436,436,436,1,43,0,Success,3
17238,4,344,344,1,354,354,354,1,4,0,Success,2
17239,32,564,568,2,580,580,580,1,32,0,Success,3
17240,12,161,161,1,170,170,170,1,12,0,Success,2
