RAO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,total_request
888,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
890,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
891,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
898,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
905,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
906,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
909,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
913,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2
914,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
